Name,Redshift,M_500,M_upper,M_lower,Tx,Tx_upper,Tx_lower,L_500,L_upper,L_lower,CoolCore,Source_X,Source_L,Mass_Est
ABELL0068,0.2546,4.17,1.23,1.07,,,,13.79,2.61,2.53,NCC,M,Mulroy,W
ABELL0115A,0.1971,3.86,1.64,1.33,,,,14.98,3.07,2.81,none,M,Mulroy,W
ABELL0209,0.206,8.84,1.36,1.23,,,,26.49,2.78,2.72,CC,M,Mulroy,W
RXJ1042.0+2131,0.2803,4.07,0.86,0.76,,,,15.05,2.3,2.24,NCC,M,Mulroy,W
ABELL0267,0.23,3.3,0.69,0.61,,,,12.4,4.92,4.9,NCC,M,Mulroy,W
ABELL0291,0.196,4.11,1,0.89,,,,10.23,1.68,1.63,none,M,Mulroy,W
ABELL0383,0.1883,3.39,0.73,0.61,,,,9.75,1.96,1.92,CC,M,Mulroy,W
ABELL0586,0.171,6.77,2,1.63,,,,25.83,5.37,5.16,NCC,M,Mulroy,W
ABELL0611,0.288,5.19,1,0.91,,,,19,3.94,3.91,CC,M,Mulroy,W
ABELL0697,0.282,8.39,1.27,1.17,,,,22.09,4.01,3.99,CC,M,Mulroy,W
ABELL1835,0.2528,9.69,1.71,1.53,,,,28.04,2.46,3.37,CC,M,Mulroy,W
ZwCl1454.8+2233,0.2578,2.61,0.99,0.81,,,,8.25,2.54,2.47,none,M,Mulroy,W
ABELL2219,0.2281,8.1,1.5,1.36,,,,26.69,3.43,3.36,NCC,M,Mulroy,W
RXJ1720.1+2638,0.164,3.77,1.11,0.94,,,,10.79,2.32,2.24,CC,M,Mulroy,W
RXJ2129.6+0005,0.235,4.69,1.1,0.99,,,,10.73,2.77,2.74,CC,M,Mulroy,W
ABELL2390,0.2329,7.1,1.29,1.17,,,,21.66,2.45,2.39,NCC,M,Mulroy,W
ABELL2485,0.2472,3.29,0.9,0.8,,,,9.81,2.63,2.6,none,M,Mulroy,W
A85,0.0556,,,,6.1,0.12,0.12,7.97,0.03,0.03,CC,M,Lin,X
A119,0.044,,,,5.8,0.36,0.36,8.32,0.05,0.05,NCC,M,Lin,X
A262,0.0161,,,,2.41,0.03,0.03,2.51,0.04,0.04,CC,M,Lin,X
A496,0.0328,,,,3.91,0.04,0.04,4.96,0.03,0.03,CC,M,Lin,X
A644,0.0704,,,,6.59,0.1,0.1,8.45,0.03,0.03,NCC,M,Lin,X
A754,0.0528,,,,8.5,0.3,0.3,10.99,0.03,0.03,NCC,M,Lin,X
A1367,0.0216,,,,3.5,0.11,0.11,4.42,0.03,0.03,none,M,Lin,X
A1651,0.085,,,,6.3,0.31,0.31,13.89,0.01,0.01,NCC,M,Lin,X
A2255,0.08,,,,6.87,0.2,0.2,9.81,0.06,0.06,NCC,M,Lin,X
A2319,0.0564,,,,9.12,0.09,0.09,17.3,0.02,0.02,NCC,M,Lin,X
A3266,0.0594,,,,6.2,0.4,0.5,9.94,0.04,0.04,CC,M,Lin,X
A3558,0.048,,,,5.7,0.12,0.12,13.91,0.03,0.03,CC,M,Lin,X
A4038,0.0283,,,,3.15,0.04,0.03,3.23,0.04,0.04,CC,M,Lin,X
A133,0.0569,,,,3.8,1.25,0.56,4.97,0.02,0.02,CC,M,Lin,X
A548E,0.041,,,,3.1,0.1,0.1,5.72,0.05,0.05,none,M,Lin,X
A1185,0.0304,,,,3.9,2,1.1,3.25,0.06,0.06,none,M,Lin,X
A1650,0.0845,,,,6.7,0.5,0.5,6.74,0.04,0.04,CC,M,Lin,X
A1767,0.0701,,,,4.1,0.9,1.8,3.96,0.07,0.07,none,M,Lin,X
A2107,0.0421,,,,4.31,0.57,0.35,4.53,0.06,0.06,CC,M,Lin,X
A2147,0.0351,,,,4.91,0.18,0.18,5.19,0.03,0.03,NCC,M,Lin,X
A2151,0.037,,,,2.4,0.06,0.06,5.18,0.14,0.14,CC,M,Lin,X
A2440,0.0904,,,,3.88,0.16,0.14,6.15,0.15,0.15,none,M,Lin,X
A2589,0.0416,,,,3.7,1.38,0.69,3.39,0.03,0.03,CC,M,Lin,X
A2593,0.0433,,,,3.1,1.5,0.9,4.56,0.05,0.05,none,M,Lin,X
A2626,0.0573,,,,2.9,2.5,1,4.7,0.07,0.07,CC,M,Lin,X
A2634,0.0312,,,,3.7,0.18,0.18,3.33,0.05,0.05,none,M,Lin,X
A3389,0.0265,,,,2.1,0.9,0.6,3.29,0.07,0.07,none,M,Lin,X
