Name,Redshift,M_500,M_upper,M_lower,L_500,L_upper,L_lower,Stable
ABELL0068,0.2546,4.17,1.23,1.07,13.79,2.61,2.53,
ABELL0115A,0.1971,3.86,1.64,1.33,14.98,3.07,2.81,
ABELL0209,0.206,8.84,1.36,1.23,26.49,2.78,2.72,
RXJ1042.0+2131,0.2803,4.07,0.86,0.76,15.05,2.3,2.24,
ABELL0267,0.23,3.3,0.69,0.61,12.4,4.92,4.9,
ABELL0291,0.196,4.11,1,0.89,10.23,1.68,1.63,
ABELL0383,0.1883,3.39,0.73,0.61,9.75,1.96,1.92,
ABELL0586,0.171,6.77,2,1.63,25.83,5.37,5.16,
ABELL0611,0.288,5.19,1,0.91,19,3.94,3.91,
ABELL0697,0.282,8.39,1.27,1.17,22.09,4.01,3.99,
ABELL1835,0.2528,9.69,1.71,1.53,28.04,2.46,3.37,
ZwCl1454.8+2233,0.2578,2.61,0.99,0.81,8.25,2.54,2.47,
ABELL2219,0.2281,8.1,1.5,1.36,26.69,3.43,3.36,
RXJ1720.1+2638,0.164,3.77,1.11,0.94,10.79,2.32,2.24,
RXJ2129.6+0005,0.235,4.69,1.1,0.99,10.73,2.77,2.74,
ABELL2390,0.2329,7.1,1.29,1.17,21.66,2.45,2.39,
ABELL2485,0.2472,3.29,0.9,0.8,9.81,2.63,2.6,
