Region,Temperature,Abundance,Density,Pressure,Entropy,T_Cool
0.0-20.58,2.2532409921738994,0.9103551302437725,0.018609542287036984,1.3436452986176174e-10,32.08611845855823,2286234360.4682875
20.58-29.4,2.4593920171730477,0.9656695213238954,0.011760265137163594,9.26800317597557e-11,47.55720803145006,3804933679.1450334
29.4-38.22,2.58628156806402,1.040660475247463,0.008970792454510034,7.434434090225415e-11,59.90392311219487,5058287032.436436
38.22-47.04,2.850576798024007,1.0270897725256303,0.007229181343904764,6.603332513206669e-11,76.24417447070309,6809591304.8331175
47.04-55.86,3.273611375089945,1.471239209737419,0.005584907478171875,5.858472635856997e-11,103.99595942621643,8553381691.259417
55.86-67.62,3.0991511492141854,1.002532452433003,0.004801643955369624,4.768414647255084e-11,108.88869392359615,11022969743.970331
67.62-79.38,3.2238117173891983,0.8332687485022396,0.0041237489644686525,4.259937140933011e-11,125.36458185818894,13917800651.414783
79.38-91.14,3.070640123905641,0.7723367376714978,0.003552343661789246,3.4953059486494847e-11,131.89214701654953,15981455326.87427
91.14-102.9,3.784577892252581,0.7052786403964064,0.0029503886135391314,3.577980531840135e-11,183.97746588103183,22586111846.029686
102.9-114.66,4.557587538777747,0.7996450406512442,0.0025054364024532203,3.6589772057836834e-11,247.0658745678192,29152209996.815754
114.66-129.36,4.173027914410336,0.6768385576154711,0.0021806010099319497,2.915874316157669e-11,248.16116382720168,32721991255.684853
129.36-144.06,4.858383226081496,0.7268794786152555,0.0018797141247334057,2.9263406175046526e-11,318.98032689628826,41441506312.85171
