Region,Temperature,Abundance,Density,Pressure,Entropy,T_Cool
0.0-20.58,2.368857943253323,1.0466645977776188,0.019166882525381217,1.4548954992804932e-10,33.07536890952223,2475528388.904315
20.58-29.4,2.580310679467745,1.1422027939607635,0.012162162972087477,1.005597350206244e-10,48.79007144974702,4128431068.4927917
29.4-38.22,2.6993420469259948,1.2291954234058475,0.009271601482885031,8.01962346157389e-11,61.16290184456573,5456441858.03418
38.22-47.04,3.031491698846972,1.2194992703181573,0.007463214509549271,7.249759663727056e-11,79.37902625054566,7476209969.664529
47.04-55.86,3.4436731403197944,1.758260720648639,0.005788207324235373,6.38715276440751e-11,106.82163089918352,9325255729.622171
55.86-67.62,3.2665553769699884,1.1899953260120208,0.004945135796593477,5.1761821285147674e-11,112.53938659213574,11965590917.044678
67.62-79.38,3.393227794341423,0.9955257974215208,0.004236578619406683,4.6064842186480654e-11,129.59935365607217,15050017626.548862
79.38-91.14,3.242974611675341,0.9226455913623243,0.003649463505375845,3.7923977093617166e-11,136.81200219092136,17339836759.446568
91.14-102.9,4.054749317125611,0.8885032687385741,0.0030356362905535625,3.944164748833217e-11,193.40343590402492,24897660946.88602
102.9-114.66,4.941487886422519,1.0285848728515332,0.0025793470283439436,4.0842170446148985e-11,262.73497172294543,32540228118.662605
114.66-129.36,4.3978151652927675,0.8635276447775417,0.0022396326074389885,3.1561312563645135e-11,256.9128249936371,35418158732.1094
129.36-144.06,5.260615091765203,0.9466586535744134,0.0019322464597815309,3.257169418878593e-11,339.10030444910427,46126553493.826195
