Region,Temperature,Abundance,Density,Pressure,Entropy,T_Cool
0.0-20.58,2.1376240410944756,0.7740456627099261,0.018034986623900545,1.235345539733227e-10,31.082845911475484,2101960556.7742162
20.58-29.4,2.3384733548783503,0.7891362486870271,0.011344137870863307,8.50051471879294e-11,46.31817384677483,3489845021.5732408
29.4-38.22,2.473221089202045,0.8521255270890786,0.008659540430435807,6.862764358607203e-11,58.649778767982674,4669330784.363337
38.22-47.04,2.6696618972010424,0.8346802747331032,0.00698731386088922,5.977338026816305e-11,73.04369964247908,6164043529.846509
47.04-55.86,3.103549609860096,1.184217698826199,0.0053739221292412025,5.3443065668324664e-11,101.1574281600874,7802698208.649292
55.86-67.62,2.9317469214583824,0.8150695788539852,0.004653729826872752,4.371887181163287e-11,105.17819174621373,10106331702.87649
67.62-79.38,3.0543956404369736,0.6710116995829585,0.004007744084332074,3.922532717856504e-11,121.05757501340702,12815453986.680683
79.38-91.14,2.898305636135941,0.6220278839806713,0.003452492882807771,3.2064042474048146e-11,126.87877786199546,14660520993.762852
91.14-102.9,3.5144064673795503,0.5220540120542387,0.0028626034048182297,3.223698927656364e-11,174.3189229078739,20349698353.592323
102.9-114.66,4.1736871911329745,0.5707052084509551,0.0024292780904722985,3.248915616395903e-11,230.95909775973487,25885121711.44333
114.66-129.36,3.948240663527905,0.4901494704534004,0.002119926251719271,2.682042600687255e-11,239.2524801436223,30097927760.72353
129.36-144.06,4.456151360397788,0.5071003036560976,0.001825670835639954,2.606896047912129e-11,298.31719167701453,36917677450.21463
