Region,Temperature,Abundance,Density,Pressure,Entropy,T_Cool
0.0-16.03042410543153,6.511006017309145,0.6582678430242992,0.015830647670088988,3.302844153692783e-10,103.27193343584933,3779359282.033394
16.03042410543153-25.648678568690446,6.647338792660747,0.540224001153177,0.009626305034806657,2.0504478823660948e-10,146.89535653759404,7264066059.40575
25.648678568690446-32.06084821086306,7.7129318234210595,0.5408011588293358,0.007432232600539517,1.8368770466263868e-10,202.5225081236505,8205782363.614176
32.06084821086306-38.47301785303567,7.975197769368793,0.6419257494337166,0.006098199327505036,1.558419519035683e-10,238.93166951086408,10385701671.312819
38.47301785303567-44.885187495208285,8.452341819432654,0.2722679613709868,0.005395416595871611,1.4613133007217282e-10,274.76435816846424,13591178932.4011
44.885187495208285-51.29735713738089,7.776906253703441,0.5192018040152776,0.004605572073510588,1.1477088979902771e-10,280.94273657874913,14204584192.761497
51.29735713738089-57.70952677955351,7.336257618955779,0.3682463985234141,0.004203425626616156,9.88141736146219e-11,281.6689631708436,15703232064.588385
57.70952677955351-64.12169642172611,6.991872102152047,0.5312408266690813,0.0038416263960137907,8.606962366002892e-11,285.04716385116933,17081628283.172075
64.12169642172611-70.53386606389873,8.138660453032488,0.4987922481614702,0.0035569264121187477,9.276178820607979e-11,349.2767493031202,22485739648.099854
70.53386606389873-76.94603570607134,8.405095975874692,0.5788053426155743,0.0031258876225859116,8.41893854891092e-11,393.1519520701272,24476984807.375023
76.94603570607134-83.35820534824396,7.548247957997656,0.316553939776127,0.0028035278955430122,6.780978099609788e-11,379.64373465910114,23290309318.441692
83.35820534824396-89.77037499041657,7.885151710537297,0.5671185612892548,0.002546430382832727,6.434031204058025e-11,422.85244745888554,25773925042.477737
89.77037499041657-96.18254463258918,7.798939058422779,0.5355631998120657,0.0023220167166791428,5.8028610374798525e-11,444.75956699991957,55437785700.58811
96.18254463258918-102.59471427476178,8.226571039890912,0.21724352973763425,0.0022230883277478226,5.86025983778281e-11,482.96357035271,30942985178.55314
102.59471427476178-109.0068839169344,8.762516230928597,0.7105647907122529,0.0019349711910064962,5.433061744003433e-11,564.3031828609112,32506990856.905483
109.0068839169344-115.41905355910701,8.351309876785189,0.506958019267146,0.001721058630934029,4.605656730733808e-11,581.5104025450178,30996820569.051388
115.41905355910701-121.83122320127963,8.761598036932169,0.3251546875028516,0.0016856526304853993,4.732522737726634e-11,618.5924328863288,35593707304.13009
121.83122320127963-131.44947766453853,8.23820282102572,0.4086277385658804,0.0015176526524395496,4.006324906490814e-11,623.8079277058896,51524248297.983765
131.44947766453853-141.06773212779746,8.170932471026138,0.42112578607205875,0.001389362372045208,3.637713198673366e-11,656.2378355233508,54156327115.11912
141.06773212779746-150.68598659105638,7.567362098895339,0.41226909415357743,0.0011930226104944009,2.892907130311162e-11,672.7371314956813,49360231198.89037
