Region,Temperature,Abundance,Density,Pressure,Entropy,T_Cool
0.0-16.03042410543153,6.925476552921527,0.8779511883677955,0.016610020513502233,3.686049252125557e-10,106.38234289603501,4217850981.396553
16.03042410543153-25.648678568690446,7.151654262274789,0.7308220204555784,0.01006775778324308,2.3071751805433644e-10,153.38562910035787,8173566890.5414715
25.648678568690446-32.06084821086306,8.683972209025852,0.7853965803258733,0.007834480962346128,2.1800675788647712e-10,220.14640875724913,9738899031.370049
32.06084821086306-38.47301785303567,8.770351328653385,0.9098599599608889,0.006426532313139446,1.8060717032124538e-10,253.72651865152153,12036118437.589256
38.47301785303567-44.885187495208285,9.988821218624663,0.5026338843396471,0.005645641741183236,1.8070445406890392e-10,315.0445926315567,16806707828.631554
44.885187495208285-51.29735713738089,8.853727211962395,0.6964855444437226,0.004794382440298216,1.360191676365579e-10,311.3897797397837,16834370822.654322
51.29735713738089-57.70952677955351,9.20486521128646,0.5728301727727336,0.00441492717600337,1.3022137584255833e-10,342.03331049050695,20694364075.75326
57.70952677955351-64.12169642172611,7.665217819737785,0.7469927973861284,0.0040356927136839995,9.912515811428198e-11,302.39813386206424,19672667689.43897
64.12169642172611-70.53386606389873,8.882726419591947,0.7338879680760431,0.003735250860988147,1.0631813818361875e-10,368.9774032153597,25771840121.888344
70.53386606389873-76.94603570607134,9.41209217156341,0.8250328362223167,0.0032872577788826784,9.914281254408474e-11,425.72615299327845,28824502071.177532
76.94603570607134-83.35820534824396,8.177708127513228,0.5069594287270076,0.0029493069919653333,7.728458660079282e-11,397.6353187998758,26544576623.598576
83.35820534824396-89.77037499041657,9.033049938506116,0.5671185612892548,0.002546430382832727,7.37067938648482e-11,484.41011850301794,29526020622.899406
89.77037499041657-96.18254463258918,8.822015831705588,0.7773605699677115,0.002452177977969511,6.932040996701684e-11,485.1393562159852,66225436170.316605
96.18254463258918-102.59471427476178,9.19863029174757,0.43007145447033157,0.0023468559067212893,6.917527453746206e-11,520.8734413734709,36525504909.09415
102.59471427476178-109.0068839169344,9.969782089466223,1.0204063274615844,0.0020470850911260517,6.539775849311814e-11,618.3889716458999,39128661472.406075
109.0068839169344-115.41905355910701,9.51084794621948,0.7757516988054076,0.0018287143425591709,5.5732228798137485e-11,635.9973768882174,37508698475.97052
115.41905355910701-121.83122320127963,10.207508165583567,0.5757179661100662,0.0017906031675196795,5.856799897262464e-11,692.2349201781477,44049491747.853676
121.83122320127963-131.44947766453853,9.051211652758571,0.6187966925092736,0.0015988436582668238,4.6371807141509025e-11,661.966565539904,59637512207.6187
131.44947766453853-141.06773212779746,8.886469764421681,0.6320173517300588,0.0014611400962892653,4.1606619204200416e-11,690.1360201941208,61941707790.44963
141.06773212779746-150.68598659105638,8.349769897088207,0.6051281600461252,0.0012622836892094403,3.377324415279347e-11,714.8855636872341,57625601674.228264
