Region,Temperature,Abundance,Density,Pressure,Entropy,T_Cool
0.0-16.03042410543153,6.096535481696764,0.43858449768080293,0.01501086372764815,2.9324464483297365e-10,100.18729494812858,3355522751.859071
16.03042410543153-25.648678568690446,6.143023323046705,0.3496259818507757,0.009163610121793505,1.803807005450084e-10,140.28280097296235,6390298119.105681
25.648678568690446-32.06084821086306,6.741891437816267,0.29620573733279826,0.007006930205709265,1.5137384706722222e-10,184.11813221509234,6762242725.270921
32.06084821086306-38.47301785303567,7.180044210084202,0.37399153890654435,0.005751152276208682,1.323193281070803e-10,223.67831054696765,8818094552.094912
38.47301785303567-44.885187495208285,6.915862420240646,0.041902038402326536,0.005133007872215192,1.1375214039644147e-10,232.41548397598382,10579700419.53413
44.885187495208285-51.29735713738089,6.700085295444486,0.34191806358683263,0.004408682939922234,9.465215364733768e-11,249.1960115538324,11714594945.32206
51.29735713738089-57.70952677955351,5.467650026625098,0.16366262427409464,0.003980702454036693,6.974317699531258e-11,217.68452879449606,11083362368.139015
57.70952677955351-64.12169642172611,6.318526384566308,0.31548885595203424,0.003637220237189067,7.364219147457775e-11,267.1587508255833,14615243883.204145
64.12169642172611-70.53386606389873,7.394594486473028,0.2636965282468974,0.0033691767552242197,7.983245045997058e-11,329.02722309505174,19351628846.61892
70.53386606389873-76.94603570607134,7.398099780185976,0.33257784900883186,0.002955720411887247,7.006882536966608e-11,359.2068560311365,20371612930.537346
76.94603570607134-83.35820534824396,6.918787788482085,0.12614845082524645,0.0026497406645405995,5.874551057891406e-11,361.3220201704761,20177046620.035976
83.35820534824396-89.77037499041657,6.7372534825684784,0.5671185612892548,0.002546430382832727,5.497383021631229e-11,361.2947764147532,22021829462.056065
89.77037499041657-96.18254463258918,6.7758622851399695,0.29376582965641984,0.0021841122749154014,4.7422105472150574e-11,402.5142538625951,45304833316.79985
96.18254463258918-102.59471427476178,7.254511788034254,0.004415605004936929,0.002092011180425338,4.863103288729747e-11,443.5053433636259,25677860222.98121
102.59471427476178-109.0068839169344,7.5552503723909705,0.4007232539629214,0.0018159486913841042,4.3963649454869426e-11,507.5901025012044,26304246448.938114
109.0068839169344-115.41905355910701,7.191771807350898,0.23816433972888446,0.001606203435291871,3.701499978078818e-11,524.3672167921068,24911698236.480675
115.41905355910701-121.83122320127963,7.31568790828077,0.07459140889563698,0.0015737184874662885,3.6891262544574795e-11,540.7175580089466,27746233327.601208
121.83122320127963-131.44947766453853,7.425193989292868,0.19845878462248717,0.0014318652532042116,3.4068362253925555e-11,584.4845525333827,43814388419.49657
131.44947766453853-141.06773212779746,7.455395177630593,0.21023422041405868,0.0013136686114564701,3.1383241103973723e-11,621.5557947263296,46721689653.24916
141.06773212779746-150.68598659105638,6.784954300702472,0.21941002826102965,0.001119484607423235,2.4339203127752228e-11,629.315133845845,41528768103.01837
