Region,Temperature,Temp_min,Temp_max,Abundance,Ab_min,Ab_max,Norm,Norm_min,Norm_max,Flux,ReducedChiSquare 
0.0-16.03042410543153,6.511006017309145,-0.41447053561238145,0.41447053561238145,0.6582678430242992,-0.21968334534349626,0.21968334534349626,0.0004123839898502809,-4.160442168521962e-05,4.160442168521962e-05,-12.0,8.012102544735814
16.03042410543153-25.648678568690446,6.647338792660747,-0.5043154696140424,0.5043154696140424,0.540224001153177,-0.19059801930240133,0.19059801930240133,0.00047208980341122776,-4.429196270121298e-05,4.429196270121298e-05,-12.0,5.206507269717748
25.648678568690446-32.06084821086306,7.7129318234210595,-0.9710403856047928,0.9710403856047928,0.5408011588293358,-0.2445954214965375,0.2445954214965375,0.00035485654887114647,-3.945064244903328e-05,3.945064244903328e-05,-12.0,11.428030465607181
32.06084821086306-38.47301785303567,7.975197769368793,-0.7951535592845912,0.7951535592845912,0.6419257494337166,-0.26793421052717226,0.26793421052717226,0.0003563928867804149,-3.9410209278224054e-05,3.9410209278224054e-05,-12.0,9.905815810170926
38.47301785303567-44.885187495208285,8.452341819432654,-1.5364793991920085,1.5364793991920085,0.2722679613709868,-0.23036592296866026,0.23036592296866026,0.0003893481284894675,-3.695130486065808e-05,3.695130486065808e-05,-12.0,8.57928606805252
44.885187495208285-51.29735713738089,7.776906253703441,-1.0768209582589547,1.0768209582589547,0.5192018040152776,-0.177283740428445,0.177283740428445,0.0003775185309262148,-3.158804122943565e-05,3.158804122943565e-05,-12.0,8.058448717757013
51.29735713738089-57.70952677955351,7.336257618955779,-1.8686075923306813,1.8686075923306813,0.3682463985234141,-0.20458377424931948,0.20458377424931948,0.00040378564262146986,-4.165642150549102e-05,4.165642150549102e-05,-12.0,7.4621710999836806
57.70952677955351-64.12169642172611,6.991872102152047,-0.6733457175857388,0.6733457175857388,0.5312408266690813,-0.2157519707170471,0.2157519707170471,0.00042119571865601623,-4.362970724905098e-05,4.362970724905098e-05,-12.0,7.120695200564419
64.12169642172611-70.53386606389873,8.138660453032488,-0.74406596655946,0.74406596655946,0.4987922481614702,-0.23509571991457287,0.23509571991457287,0.0004410239331172119,-4.5329455849650215e-05,4.5329455849650215e-05,-12.0,6.489519239596151
70.53386606389873-76.94603570607134,8.405095975874692,-1.006996195688717,1.006996195688717,0.5788053426155743,-0.2462274936067424,0.2462274936067424,0.0004085278157648923,-4.326823866087884e-05,4.326823866087884e-05,-12.0,7.060382080114416
76.94603570607134-83.35820534824396,7.548247957997656,-0.6294601695155716,0.6294601695155716,0.316553939776127,-0.19040548895088055,0.19040548895088055,0.0003882102605960184,-4.142231908807255e-05,4.142231908807255e-05,-12.0,8.466675266437191
83.35820534824396-89.77037499041657,7.885151710537297,-1.1478982279688181,1.1478982279688181,0.5671185612892548,0.0,0.0,0.00037353847794023126,0.0,0.0,-12.0,8.351501311682668
89.77037499041657-96.18254463258918,7.798939058422779,-1.0230767732828097,1.0230767732828097,0.5355631998120657,-0.24179737015564587,0.24179737015564587,0.00035829805186418645,-4.129482567002628e-05,4.129482567002628e-05,-12.315424273582613,0.7097938204382486
96.18254463258918-102.59471427476178,8.226571039890912,-0.9720592518566581,0.9720592518566581,0.21724352973763425,-0.21282792473269732,0.21282792473269732,0.00037526071800228744,-4.2947458097763764e-05,4.2947458097763764e-05,-12.0,11.488281009601799
102.59471427476178-109.0068839169344,8.762516230928597,-1.2072658585376266,1.2072658585376266,0.7105647907122529,-0.30984153674933146,0.30984153674933146,0.00032214802034710553,-3.8412565591825745e-05,3.8412565591825745e-05,-12.0,11.47248248883691
109.0068839169344-115.41905355910701,8.351309876785189,-1.1595380694342907,1.1595380694342907,0.506958019267146,-0.26879367953826155,0.26879367953826155,0.0002866759406378372,-3.6986017396896906e-05,3.6986017396896906e-05,-12.0,13.036132296872733
115.41905355910701-121.83122320127963,8.761598036932169,-1.4459101286513985,1.4459101286513985,0.3251546875028516,-0.2505632786072146,0.2505632786072146,0.0003073201329854134,-3.945946917515883e-05,3.945946917515883e-05,-12.0,13.86509114420663
121.83122320127963-131.44947766453853,8.23820282102572,-0.8130088317328515,0.8130088317328515,0.4086277385658804,-0.21016895394339324,0.21016895394339324,0.00042597547871323066,-4.679660724797097e-05,4.679660724797097e-05,-12.0,4.692575259858791
131.44947766453853-141.06773212779746,8.170932471026138,-0.7155372933955445,0.7155372933955445,0.42112578607205875,-0.21089156565800007,0.21089156565800007,0.0004132626384603825,-4.3803234902644456e-05,4.3803234902644456e-05,-12.0,5.616958907260986
141.06773212779746-150.68598659105638,7.567362098895339,-0.7824077981928679,0.7824077981928679,0.41226909415357743,-0.19285906589254778,0.19285906589254778,0.0003492322758838618,-4.1726499662645826e-05,4.1726499662645826e-05,-12.0,6.524281389057197
