Region,Temperature,Abundance,Density,Pressure,Entropy,T_Cool
0.0-23.986882377212495,3.384365059069774,0.9853998136817421,0.021648566826798797,2.347727326798989e-10,43.570355380420274,3040532078.4900675
23.986882377212495-35.98032356581874,3.3470859398750297,0.879187395192239,0.015229696887091292,1.63342585276726e-10,54.476101904799265,8816478201.26602
35.98032356581874-47.97376475442499,3.45722245957599,0.8497893351375446,0.011085102490997997,1.228028201361579e-10,69.53991952735967,6305513591.554193
47.97376475442499-59.96720594303124,4.307602899743742,0.6827432102737887,0.008582982906951357,1.1847186086476563e-10,102.75670322767088,10085759069.72704
59.96720594303124-71.96064713163749,4.4676083651053755,0.6952626060098724,0.0069100344604053465,9.892284781614162e-11,123.14637151633913,12841093355.974428
71.96064713163749-83.95408832024374,4.941819362902648,0.62045945608421,0.005944261058654712,9.412956309776021e-11,150.59883667102523,16499127694.48888
83.95408832024374-95.94752950884998,4.848277003278813,0.6524658102599737,0.005098749294371132,7.921225648744695e-11,163.66091925224762,18780478613.63024
95.94752950884998-107.94097069745624,5.223980374134231,0.592081805049523,0.004483123170905342,7.504530196975898e-11,192.1385118505896,22995649427.37899
107.94097069745624-119.93441188606248,5.398938303671831,0.39281689613042686,0.004100555427912425,7.094019094701478e-11,210.73980480997741,27287192974.210793
119.93441188606248-131.92785307466872,5.33523711444602,0.5209687416024086,0.0035810584716025255,6.122184868427521e-11,227.93592726863528,29840957816.990322
131.92785307466872-143.92129426327497,5.287746699355512,0.6125746723923087,0.003203485720058913,5.4279362340302956e-11,243.32614810594998,61216339354.73124
143.92129426327497-155.91473545188123,4.876068416306975,0.37998258122067863,0.0029929789203530627,4.676433365859071e-11,234.78338071208705,34905369032.16411
155.91473545188123-167.90817664048748,5.105347476335516,0.456024173859246,0.002704876179871132,4.4250073582771585e-11,262.9826192163943,39002243347.990204
167.90817664048748-179.90161782909374,5.511076352156281,0.6034867572088387,0.0023898511521004227,4.220351098590414e-11,308.3111228538999,75651937226.56572
179.90161782909374-191.89505901769996,5.254958906932227,0.49626503842111525,0.0022679659191405886,3.818977943890532e-11,304.4235935021185,46937154443.68407
191.89505901769996-203.8885002063062,5.756004256866087,0.4801991741666969,0.0020983462157477878,3.870254767202493e-11,351.18531102589105,54777418915.86442
203.8885002063062-215.88194139491247,5.857171105685076,0.4019262382547653,0.0019663070353315992,3.690460371303829e-11,373.18171470035685,60625808979.94691
215.88194139491247-227.87538258351873,5.32611858043136,0.46776115357303005,0.0018289954700937455,3.121510232959109e-11,356.1249583200688,59263702911.319664
227.87538258351873-239.86882377212495,6.347272425692878,0.6941348339506681,0.0016719907308858902,3.400652897061853e-11,450.5723754962983,70470727301.61746
239.86882377212495-251.86226496073118,6.454647279076165,0.3817951343603565,0.001625436677453792,3.3618928832864336e-11,466.90208280607044,79761685684.61224
251.86226496073118-263.85570614933744,5.278627689679026,0.5602674820885,0.0015144160260821265,2.561577678799523e-11,400.27417125758694,69227829527.66344
263.85570614933744-275.84914733794375,6.140242614375956,0.26013929484290377,0.0014682500918592064,2.8888624899677106e-11,475.31936356145786,124659894735.17482
275.84914733794375-287.84258852654995,5.577654802564116,0.49360288934293767,0.001334092581880903,2.384398849888645e-11,460.2505537336501,83613485594.1303
